2018,Monday,State Road,Motor Vehicle Crash - No Injury,17:12:10
2018,Tuesday,Chambers Street,Motor Vehicle Crash - No Injury,17:46:02
2018,Wednesday,Great Road,Motor Vehicle Crash - No Injury,16:40:35
2018,Thursday,Washington Road,Motor Vehicle Crash - No Injury,08:26:01
2018,Thursday,Great Road,Motor Vehicle Crash - No Injury,11:10:57
2018,Thursday,Witherspoon Street,Motor Vehicle Crash - No Injury,14:03:04
2018,Thursday,Moore Street,Motor Vehicle Crash - No Injury,14:47:37
2018,Friday,Bayard Lane,Motor Vehicle Crash - No Injury,07:56:13
2018,Friday,Bunn Drive,Motor Vehicle Crash - No Injury,15:24:25
2018,Friday,Washington Road,Motor Vehicle Crash - No Injury,21:14:43
2018,Saturday,Mercer Street,Motor Vehicle Crash - No Injury,17:05:17
2018,Sunday,Herrontown Road,Motor Vehicle Crash - No Injury,14:57:30
2018,Monday,Elm Road,Motor Vehicle Crash - No Injury,08:50:03
2018,Tuesday,Winant Road,Motor Vehicle Crash - No Injury,07:57:39
2018,Tuesday,Elm Road,Motor Vehicle Crash - No Injury,08:45:08
2018,Tuesday,Birch Avenue,Motor Vehicle Crash - No Injury,18:03:01
2018,Wednesday,Nassau Street,Motor Vehicle Crash - No Injury,06:38:08
2018,Wednesday,Bayard Lane,Motor Vehicle Crash - No Injury,14:45:47
2018,Wednesday,Vandeventer Avenue,Motor Vehicle Crash - No Injury,18:56:23
2018,Thursday,Jefferson Road,Motor Vehicle Crash - No Injury,10:57:54
2018,Friday,State Road,Motor Vehicle Crash - No Injury,07:50:27
2018,Friday,Washington Road,Motor Vehicle Crash - Injury,09:16:33
2018,Friday,Vandeventer Avenue,Motor Vehicle Crash - No Injury,15:08:43
2018,Saturday,Olden Lane,Motor Vehicle Crash - No Injury,09:35:48
2018,Sunday,Nassau Street,Motor Vehicle Crash - No Injury,14:20:50
2018,Sunday,Mercer Street,Motor Vehicle Crash - No Injury,20:08:31
2018,Monday,Quaker Road,Motor Vehicle Crash - No Injury,16:56:27
2018,Tuesday,Mercer Street,Motor Vehicle Crash - No Injury,07:57:05
2018,Wednesday,Quaker Road,Motor Vehicle Crash - Injury,10:35:24
2018,Wednesday,State Road,Motor Vehicle Crash - No Injury,18:26:42
2018,Wednesday,Paul Robeson Place,Motor Vehicle Crash - No Injury,19:20:11
2018,Wednesday,State Road,Motor Vehicle Crash - Injury,19:49:33
2018,Thursday,Library Place,Motor Vehicle Crash - No Injury,12:39:29
2018,Thursday,Witherspoon Street,Motor Vehicle Crash - Injury,17:05:28
2018,Friday,Alexander Street,Motor Vehicle Crash - No Injury,09:46:16
2018,Friday,Stockton Street,Motor Vehicle Crash - No Injury,13:12:10
2018,Friday,Nassau Street,Motor Vehicle Crash - No Injury,13:24:19
2018,Saturday,Valley Road,Motor Vehicle Crash - No Injury,14:13:44
2018,Saturday,Nassau Street,Motor Vehicle Crash - No Injury,14:45:09
2018,Saturday,Nassau Street,Motor Vehicle Crash - No Injury,18:09:21
2018,Saturday,Prospect Avenue,Motor Vehicle Crash - No Injury,19:08:25
2018,Sunday,Lovers Lane,Motor Vehicle Crash - No Injury,14:11:14
